,1,0.5,0.2
635,3-4,3.0-3.4,3.2-3.3
636,4-5,4.0-4.4,4.0-4.1
637,4-5,4.0-4.4,4.0-4.1
638,4-5,4.0-4.4,4.2-4.3
639,2-3,2.5-2.9,2.6-2.7
640,4-5,4.0-4.4,4.2-4.3
641,4-5,4.5-4.9,4.6-4.7
642,4-5,4.0-4.4,4.4-4.5
643,4-5,4.5-4.9,4.8-4.9
644,4-5,4.0-4.4,4.4-4.5
645,4-5,4.5-4.9,4.4-4.5
646,3-4,3.0-3.4,3.2-3.3
647,4-5,4.5-4.9,4.4-4.5
648,4-5,4.5-4.9,4.6-4.7
649,3-4,3.5-3.9,3.8-3.9
650,3-4,3.5-3.9,3.6-3.7
651,4-5,4.5-4.9,4.4-4.5
652,4-5,4.0-4.4,4.0-4.1
653,2-3,2.5-2.9,2.8-2.9
654,4-5,4.5-4.9,4.4-4.5
655,4-5,4.5-4.9,4.6-4.7
656,3-4,3.0-3.4,3.0-3.1
657,4-5,4.0-4.4,4.0-4.1
658,4-5,4.5-4.9,4.4-4.5
659,2-3,2.5-2.9,2.4-2.5
660,4-5,4.0-4.4,4.4-4.5
661,4-5,4.5-5.0,4.8-5.0
662,4-5,4.0-4.4,4.0-4.1
663,4-5,4.5-5.0,4.8-5.0
664,4-5,4.0-4.4,4.0-4.1
665,4-5,4.5-4.9,4.4-4.5
666,4-5,4.5-4.9,4.4-4.5
667,3-4,3.5-3.9,3.8-3.9
668,4-5,4.5-4.9,4.4-4.5
669,4-5,4.0-4.4,4.4-4.5
670,4-5,4.5-4.9,4.4-4.5
671,4-5,4.5-4.9,4.4-4.5
672,4-5,4.0-4.4,4.0-4.1
673,4-5,4.0-4.4,4.2-4.3
674,4-5,4.5-4.9,4.4-4.5
675,4-5,4.0-4.4,4.0-4.1
676,3-4,3.0-3.4,3.0-3.1
677,4-5,4.5-4.9,4.4-4.5
678,4-5,4.5-4.9,4.4-4.5
679,4-5,4.0-4.4,4.0-4.1
680,3-4,3.5-3.9,3.6-3.7
681,4-5,4.5-4.9,4.4-4.5
682,4-5,4.0-4.4,4.2-4.3
683,3-4,3.0-3.4,3.2-3.3
684,4-5,4.0-4.4,4.2-4.3
685,4-5,4.5-4.9,4.4-4.5
686,3-4,3.5-3.9,3.6-3.7
687,3-4,3.0-3.4,3.0-3.1
688,4-5,4.5-4.9,4.4-4.5
689,4-5,4.0-4.4,4.0-4.1
690,4-5,4.0-4.4,4.4-4.5
691,4-5,4.0-4.4,4.2-4.3
692,4-5,4.5-4.9,4.4-4.5
693,3-4,3.5-3.9,3.8-3.9
694,4-5,4.5-4.9,4.4-4.5
695,4-5,4.0-4.4,4.4-4.5
696,4-5,4.5-4.9,4.4-4.5
697,4-5,4.5-4.9,4.4-4.5
698,4-5,4.0-4.4,4.0-4.1
699,4-5,4.0-4.4,4.2-4.3
700,3-4,3.0-3.4,3.2-3.3
701,4-5,4.0-4.4,4.0-4.1
702,4-5,4.0-4.4,4.4-4.5
703,3-4,3.5-3.9,3.6-3.7
704,4-5,4.0-4.4,4.0-4.1
705,3-4,3.5-3.9,3.8-3.9
706,4-5,4.5-4.9,4.4-4.5
707,4-5,4.0-4.4,4.2-4.3
708,3-4,3.5-3.9,3.6-3.7
709,4-5,4.5-5.0,4.8-5.0
710,4-5,4.5-4.9,4.4-4.5
